ID,Hierarchy,Object,Name,ShortName,LongName,Link,Length,Height,Level,Section,WIND_Left,WIND_Right,WIND_Top,WIND_Bott,WIND_Ks_Left,WIND_Ks_Right,WIND_Ks_Top,WIND_Ks_Bott,Arch
THAnt_ID1608101520_277,1,FeL5,Laibungsstein5,FeL5_Fe10_OFas_RhANT,Laibungsstein5_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,20","0,60",2,13,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_290,1,FeL4,Laibungsstein4,FeL4_Fe10_OFas_RhANT,Laibungsstein4_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,20","0,50",2,13,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_622,1,FeL5,Laibungsstein5,FeL5_Fe27_OFas_RhANT,Laibungsstein5_Fen27_OFas_RhANT,Fe27_OFas_RhANT,"0,20","0,10",3,9,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_632,1,FeL1,Laibungsstein1,FeL1_Fe28_OFas_RhANT,Laibungsstein1_Fen28_OFas_RhANT,Fe28_OFas_RhANT,"0,20","0,44",3,13,0,0,0,0,0,0,0,0,0
THAnt_ID1608101520_619,1,FeL10,Laibungsstein10,FeL10_Fe27_OFas_RhANT,Laibungsstein10_Fen27_OFas_RhANT,Fe27_OFas_RhANT,"0,20","1,06",3,9,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_265,1,FeL15,Laibungsstein15,FeL15_Fe10_OFas_RhANT,Laibungsstein15_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,21","0,71",2,13,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_266,1,FeL14,Laibungsstein14,FeL14_Fe10_OFas_RhANT,Laibungsstein14_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,21","0,45",2,13,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_280,1,FeL12,Laibungsstein12,FeL12_Fe10_OFas_RhANT,Laibungsstein12_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,21","0,47",2,13,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_287,1,FeL11,Laibungsstein11,FeL11_Fe10_OFas_RhANT,Laibungsstein11_Fen10_OFas_RhANT,Fe10_OFas_RhANT,"0,21","0,28",2,13,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_244,1,FeL14,Laibungsstein14,FeL14_Fe09_OFas_RhANT,Laibungsstein14_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,21","0,62",2,9,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_245,1,FeL13,Laibungsstein13,FeL13_Fe09_OFas_RhANT,Laibungsstein13_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,21","0,83",2,9,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_246,1,FeL17,Laibungsstein17,FeL17_Fe09_OFas_RhANT,Laibungsstein17_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,21","0,54",2,9,1,0,0,0,0,0,0,0,0
THAnt_ID1608101520_247,1,FeL12,Laibungsstein12,FeL12_Fe09_OFas_RhANT,Laibungsstein12_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,21","0,83",2,9,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_248,1,FeL11,Laibungsstein11,FeL11_Fe09_OFas_RhANT,Laibungsstein11_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,21","0,62",2,9,0,1,0,0,0,0,0,0,0
THAnt_ID1608101520_249,1,FeL10,Laibungsstein10,FeL10_Fe09_OFas_RhANT,Laibungsstein10_Fen09_OFas_RhANT,Fe09_OFas_RhANT,"0,21","0,54",2,9,0,1,0,0,0,0,0,0,0
